deck	version	opponent	result	turn_order	start_quality	opening_hand_quality	sequencing_quality	issue_tags	positive_tags	cards_shined	cards_failed	notes
Raging Bolt Lab	v3 Anti-Bench Pressure	Mega Greninja	win	unknown	great	good	okay		strong recovery	Raging Bolt ex		Won vs Mega Greninja. strong recovery made the difference. Deck felt consistent.
Raging Bolt Lab	v3 Anti-Bench Pressure	Mega Greninja	win	second	good	great	okay		clean sequencing|strong setup	Raging Bolt ex		
Raging Bolt Lab	v3 Anti-Bench Pressure	Mega Greninja	win	first	good	great	bad		favorable matchup	Raging Bolt ex		
Raging Bolt Lab	v3 Anti-Bench Pressure	Mega Greninja	win	unknown	good	good	bad		strong recovery	Raging Bolt ex		Won vs Mega Greninja. strong recovery made the difference. Deck felt consistent.
Raging Bolt Lab	v3 Anti-Bench Pressure	Mega Greninja	win	first	okay	good	bad		key tech mattered|favorable matchup	Raging Bolt ex		
Raging Bolt Lab	v3 Anti-Bench Pressure	Mega Greninja	win	second	great	great	bad		opponent bricked|good prize plan	Raging Bolt ex		
Raging Bolt Lab	v3 Anti-Bench Pressure	Mega Greninja	win	unknown	great	good	bad		key tech mattered	Raging Bolt ex		Won vs Mega Greninja. key tech mattered made the difference. Deck felt consistent.
Raging Bolt Lab	v3 Anti-Bench Pressure	Mega Greninja	win	second	good	good	good		opponent bricked	Raging Bolt ex		
Raging Bolt Lab	v3 Anti-Bench Pressure	Dragapult Dusknoir	loss	first	bad	okay	great	poor prize trade				Lost to Dragapult Dusknoir. Main issue: poor prize trade. Need to review opening hand setup.
Raging Bolt Lab	v3 Anti-Bench Pressure	Dragapult Dusknoir	loss	second	bad	bad	great	missed setup				
Raging Bolt Lab	v3 Anti-Bench Pressure	Dragapult Dusknoir	loss	first	good	okay	great	stadium lock				
Raging Bolt Lab	v3 Anti-Bench Pressure	Dragapult Dusknoir	loss	second	great	great	okay	poor prize trade|tempo loss				Lost to Dragapult Dusknoir. Main issue: poor prize trade. Need to review opening hand setup.
Raging Bolt Lab	v3 Anti-Bench Pressure	Dragapult Dusknoir	loss	first	bad	good	great	energy issue|unlucky draws				
Raging Bolt Lab	v3 Anti-Bench Pressure	Dragapult Dusknoir	win	second	good	okay	okay		opponent bricked|Good Tech			
Raging Bolt Lab	v3 Anti-Bench Pressure	Dragapult Dusknoir	win	first	good	bad	great		good prize plan|Good Tech			Won vs Dragapult Dusknoir. good prize plan made the difference. Deck felt consistent.
Raging Bolt Lab	v3 Anti-Bench Pressure	Dragapult Dusknoir	win	second	good	great	okay		strong setup|Good Tech			
Raging Bolt Lab	v3 Anti-Bench Pressure	Dragapult Dusknoir	win	first	bad	great	bad		Good Tech			
Raging Bolt Lab	v3 Anti-Bench Pressure	Dragapult Dusknoir	win	second	good	good	good		favorable matchup|Good Tech			Won vs Dragapult Dusknoir. favorable matchup made the difference. Deck felt consistent.
Raging Bolt Lab	v3 Anti-Bench Pressure	Charizard ex	win	first	okay	good	good		favorable matchup|Good Tech			
Raging Bolt Lab	v3 Anti-Bench Pressure	Charizard ex	win	second	great	okay	okay		clean sequencing|Good Tech			
Raging Bolt Lab	v3 Anti-Bench Pressure	Charizard ex	win	first	bad	good	okay		good prize plan|Good Tech			
Raging Bolt Lab	v3 Anti-Bench Pressure	Charizard ex	loss	second	good	good	bad	supporter drought|stadium lock				
Raging Bolt Lab	v3 Anti-Bench Pressure	Charizard ex	loss	first	okay	okay	good	matchup knowledge				
Raging Bolt Lab	v1 Turbo	Rogue decks	win	unknown	great	great	good		strong recovery			
Raging Bolt Lab	v1 Turbo	Rogue decks	win	unknown	good	good	good		opponent bricked			
Raging Bolt Lab	v1 Turbo	Rogue decks	loss	unknown	great	great	great	Item Lock				
Raging Bolt Lab	v1 Turbo	Rogue decks	loss	unknown	great	okay	okay	poor prize trade				
Raging Bolt Lab	v1 Turbo	Rogue decks	loss	unknown	okay	great	okay	missed setup				
Dragapult Dusknoir Testing	v1 Baseline	Mega Greninja	loss	unknown	great	okay	bad	bad sequencing|tempo loss			Rare Candy	Lost to Mega Greninja. Main issue: bad sequencing. Need to review opening hand setup.
Dragapult Dusknoir Testing	v1 Baseline	Raging Bolt	loss	second	bad	great	okay	stadium lock|Item Lock			Rare Candy	
Dragapult Dusknoir Testing	v1 Baseline	Charizard ex	loss	first	great	great	bad	bad sequencing|tempo loss			Rare Candy	
Dragapult Dusknoir Testing	v1 Baseline	Rogue decks	loss	unknown	bad	great	bad	bad sequencing|tempo loss			Rare Candy	Lost to Rogue decks. Main issue: bad sequencing. Need to review opening hand setup.
Dragapult Dusknoir Testing	v1 Baseline	Mega Greninja	loss	first	okay	good	bad	bad sequencing|tempo loss			Rare Candy	
Dragapult Dusknoir Testing	v1 Baseline	Raging Bolt	loss	second	okay	bad	bad	bad sequencing|tempo loss|bench pressure			Rare Candy	
Dragapult Dusknoir Testing	v1 Baseline	Charizard ex	loss	unknown	great	good	bad	bad sequencing|tempo loss|Item Lock			Rare Candy	Lost to Charizard ex. Main issue: bad sequencing. Need to review opening hand setup.
Dragapult Dusknoir Testing	v1 Baseline	Rogue decks	loss	second	good	bad	bad	bad sequencing|tempo loss			Rare Candy	
Dragapult Dusknoir Testing	v1 Baseline	Mega Greninja	loss	first	okay	good	okay	Item Lock|prize map error			Rare Candy	
Dragapult Dusknoir Testing	v1 Baseline	Raging Bolt	loss	unknown	great	good	bad	bad sequencing|tempo loss			Rare Candy	Lost to Raging Bolt. Main issue: bad sequencing. Need to review opening hand setup.
Dragapult Dusknoir Testing	v1 Baseline	Charizard ex	loss	first	okay	bad	bad	bad sequencing|tempo loss|misplay			Rare Candy	
Dragapult Dusknoir Testing	v1 Baseline	Rogue decks	loss	second	okay	okay	bad	bad sequencing|tempo loss			Rare Candy	
Dragapult Dusknoir Testing	v2 Dusknoir Consistency	Mega Greninja	loss	unknown	great	bad	bad	bad sequencing|tempo loss|missed setup			Rare Candy	Lost to Mega Greninja. Main issue: bad sequencing. Need to review opening hand setup.
Dragapult Dusknoir Testing	v2 Dusknoir Consistency	Raging Bolt	tie	second	good	great	bad					
Dragapult Dusknoir Testing	v2 Dusknoir Consistency	Charizard ex	win	first	okay	okay	great		Good Tech	Dusknoir		
Dragapult Dusknoir Testing	v2 Dusknoir Consistency	Rogue decks	win	unknown	bad	great	good		clean sequencing|Good Tech	Dusknoir		Won vs Rogue decks. clean sequencing made the difference. Deck felt consistent.
Dragapult Dusknoir Testing	v2 Dusknoir Consistency	Mega Greninja	win	first	good	good	great		strong recovery|Good Tech	Dusknoir		
Dragapult Dusknoir Testing	v2 Dusknoir Consistency	Raging Bolt	win	second	great	good	good		Good Tech	Dusknoir		
Dragapult Dusknoir Testing	v2 Dusknoir Consistency	Charizard ex	win	unknown	good	okay	great		good prize plan|Good Tech	Dusknoir		Won vs Charizard ex. good prize plan made the difference. Deck felt consistent.
Dragapult Dusknoir Testing	v2 Dusknoir Consistency	Rogue decks	win	second	bad	great	bad		favorable matchup|Good Tech	Dusknoir		
Dragapult Dusknoir Testing	v2 Dusknoir Consistency	Mega Greninja	win	first	bad	good	great		strong setup|Good Tech	Dusknoir		
Dragapult Dusknoir Testing	v2 Dusknoir Consistency	Raging Bolt	win	unknown	okay	great	great		good prize plan|Good Tech	Dusknoir		Won vs Raging Bolt. good prize plan made the difference. Deck felt consistent.
Dragapult Dusknoir Testing	v2 Dusknoir Consistency	Charizard ex	win	first	okay	good	good		clean sequencing|Good Tech	Dusknoir		
Dragapult Dusknoir Testing	v2 Dusknoir Consistency	Rogue decks	win	second	good	good	good		clean sequencing|Good Tech	Dusknoir		
Dragapult Dusknoir Testing	v2 Dusknoir Consistency	Mega Greninja	win	unknown	bad	bad	okay		clean sequencing|Good Tech	Dusknoir		Won vs Mega Greninja. clean sequencing made the difference. Deck felt consistent.
Item Lock Stress Test	v1 Item Lock Weak	Mega Greninja	loss	first	great	good	bad	Item Lock			Switch	Lost to Mega Greninja. Main issue: Item Lock. Need to review opening hand setup.
Item Lock Stress Test	v1 Item Lock Weak	Raging Bolt	loss	second	bad	great	great	Item Lock|unlucky draws|stadium lock			Switch	
Item Lock Stress Test	v1 Item Lock Weak	Charizard ex	loss	first	bad	good	bad	Item Lock|supporter drought			Switch	
Item Lock Stress Test	v1 Item Lock Weak	Mega Greninja	loss	second	great	good	great	Item Lock|bad sequencing			Switch	Lost to Mega Greninja. Main issue: Item Lock. Need to review opening hand setup.
Item Lock Stress Test	v1 Item Lock Weak	Raging Bolt	loss	first	good	good	okay	Item Lock|poor prize trade|prize map error			Switch	
Item Lock Stress Test	v1 Item Lock Weak	Charizard ex	loss	second	great	bad	great	Item Lock|tempo loss			Switch	
Item Lock Stress Test	v1 Item Lock Weak	Mega Greninja	loss	first	great	okay	okay	Item Lock|matchup knowledge			Switch	Lost to Mega Greninja. Main issue: Item Lock. Need to review opening hand setup.
Item Lock Stress Test	v1 Item Lock Weak	Raging Bolt	loss	second	bad	bad	okay	Item Lock|stadium lock			Switch	
Item Lock Stress Test	v1 Item Lock Weak	Charizard ex	loss	first	good	good	okay	Item Lock|unlucky draws			Switch	
Item Lock Stress Test	v1 Item Lock Weak	Mega Greninja	loss	second	okay	great	good	Item Lock|matchup knowledge			Switch	Lost to Mega Greninja. Main issue: Item Lock. Need to review opening hand setup.
Item Lock Stress Test	v1 Item Lock Weak	Raging Bolt	loss	first	good	bad	great	Item Lock|supporter drought			Switch	
Item Lock Stress Test	v1 Item Lock Weak	Charizard ex	loss	second	bad	good	good	Item Lock|supporter drought			Switch	
Item Lock Stress Test	v2 Item Lock Answers	Mega Greninja	loss	first	great	great	okay	Item Lock|supporter drought			Switch	Lost to Mega Greninja. Main issue: Item Lock. Need to review opening hand setup.
Item Lock Stress Test	v2 Item Lock Answers	Raging Bolt	loss	second	bad	okay	good	Item Lock|supporter drought			Switch	
Item Lock Stress Test	v2 Item Lock Answers	Charizard ex	loss	first	bad	good	great	Item Lock|supporter drought			Switch	
Item Lock Stress Test	v2 Item Lock Answers	Mega Greninja	tie	second	bad	good	okay					Won vs Mega Greninja. Clean game made the difference. Deck felt consistent.
Item Lock Stress Test	v2 Item Lock Answers	Raging Bolt	win	first	great	okay	good		strong recovery|good prize plan			
Item Lock Stress Test	v2 Item Lock Answers	Charizard ex	win	second	bad	good	bad		strong setup|Good Tech			
Item Lock Stress Test	v2 Item Lock Answers	Mega Greninja	win	first	bad	okay	okay		favorable matchup			Won vs Mega Greninja. favorable matchup made the difference. Deck felt consistent.
Item Lock Stress Test	v2 Item Lock Answers	Raging Bolt	win	second	bad	okay	bad		key tech mattered			
Item Lock Stress Test	v2 Item Lock Answers	Charizard ex	win	first	okay	great	good		Good Tech			
Item Lock Stress Test	v2 Item Lock Answers	Mega Greninja	win	second	good	good	great		Good Tech			Won vs Mega Greninja. Good Tech made the difference. Deck felt consistent.
Item Lock Stress Test	v2 Item Lock Answers	Raging Bolt	win	first	great	great	okay		Good Tech			
Item Lock Stress Test	v2 Item Lock Answers	Charizard ex	win	second	bad	okay	bad		strong recovery			
Item Lock Stress Test	v2 Item Lock Answers	Mega Greninja	win	first	good	great	okay		good prize plan			Won vs Mega Greninja. good prize plan made the difference. Deck felt consistent.
Rogue Box	v1 Unknown Meta Call	Mega Greninja	win	unknown	good	good	great		opponent bricked|clean sequencing			
Rogue Box	v1 Unknown Meta Call	Dragapult Dusknoir	loss	second	okay	okay	okay	tempo loss				
Rogue Box	v1 Unknown Meta Call	Charizard ex	tie	first	okay	bad	bad					
Rogue Box	v1 Unknown Meta Call	Rogue decks	win	unknown	okay	okay	bad		good prize plan			
Rogue Box	v1 Unknown Meta Call	Raging Bolt	loss	first	bad	okay	bad	missed setup|tempo loss				
Rogue Box	v1 Unknown Meta Call	Mega Greninja	tie	second	good	good	bad					
Rogue Box	v1 Unknown Meta Call	Dragapult Dusknoir	win	unknown	bad	good	good		strong setup			
Rogue Box	v1 Unknown Meta Call	Charizard ex	loss	second	great	great	great	bad sequencing|missed setup				
Rogue Box	v1 Unknown Meta Call	Rogue decks	tie	first	good	okay	okay					
Rogue Box	v1 Unknown Meta Call	Raging Bolt	win	unknown	good	great	bad		Good Tech			
