deck	version	opponent	result	went_first	start_quality	opening_hand_quality	sequencing_quality	issue_tags	positive_tags	custom_tags	notes_flag	match_date
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Mega Greninja	win	second	good	okay	good		strong recovery		yes	2026-02-02
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Mega Greninja	win	first	good	good	good		strong recovery|favorable matchup		yes	2026-02-03
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Mega Greninja	loss	second	okay	good	good	bench pressure|missed setup			yes	2026-02-04
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Mega Greninja	loss	first	okay	good	bad	bench pressure|missed setup			yes	2026-02-05
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Mega Greninja	loss	second	okay	great	bad	bench pressure|missed setup			yes	2026-02-06
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Mega Greninja	loss	second	good	okay	good	bench pressure|missed setup			yes	2026-02-07
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Mega Greninja	loss	second	good	okay	good	bench pressure|missed setup			yes	2026-02-08
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Mega Greninja	loss	first	great	good	okay	bench pressure|missed setup			yes	2026-02-09
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Mega Greninja	loss	second	good	bad	good	bench pressure|missed setup			yes	2026-02-10
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Mega Greninja	loss	first	good	great	okay	bench pressure|missed setup			yes	2026-02-11
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Mega Greninja	tie	second	great	good	bad				yes	2026-02-12
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	win	first	good	good	great		key tech mattered|strong recovery		yes	2026-02-13
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	win	unknown	great	great	good		key tech mattered|strong recovery		yes	2026-02-14
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	win	first	great	good	good		key tech mattered		yes	2026-02-15
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	win	second	bad	okay	good		key tech mattered|strong recovery		yes	2026-02-16
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	loss	first	great	good	okay	bench pressure|missed setup			yes	2026-02-17
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	loss	second	great	good	great	bench pressure|missed setup			yes	2026-02-18
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	loss	first	good	great	okay	bench pressure|missed setup			yes	2026-02-19
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	loss	second	bad	okay	good	bench pressure|missed setup			yes	2026-02-20
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	loss	first	great	okay	good	bench pressure|missed setup			yes	2026-02-21
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	loss	second	okay	good	great	bench pressure|missed setup			yes	2026-02-22
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	loss	first	okay	okay	good	bench pressure|missed setup			yes	2026-02-23
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	loss	second	good	good	good	bench pressure|missed setup			yes	2026-02-24
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	tie	first	good	okay	good		good prize plan		yes	2026-02-25
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Mega Greninja	tie	second	good	good	good		good prize plan		yes	2026-02-26
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Dragapult Dusknoir	loss	unknown	okay	okay	bad	missed setup|supporter drought			yes	2026-02-27
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Dragapult Dusknoir	loss	second	great	great	great	missed setup|tempo loss			yes	2026-02-28
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Dragapult Dusknoir	loss	first	okay	good	okay	missed setup|tempo loss			yes	2026-03-01
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Dragapult Dusknoir	loss	unknown	okay	bad	bad	missed setup|poor prize trade			yes	2026-03-02
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Dragapult Dusknoir	tie	first	bad	bad	okay				yes	2026-03-03
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Dragapult Dusknoir	win	second	good	good	good		good prize plan|key tech mattered		yes	2026-03-04
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Dragapult Dusknoir	win	unknown	okay	good	okay		good prize plan|strong recovery		yes	2026-03-05
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Dragapult Dusknoir	win	second	great	okay	okay		good prize plan|strong recovery		yes	2026-03-06
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Dragapult Dusknoir	win	first	okay	great	good		good prize plan|key tech mattered		yes	2026-03-07
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Dragapult Dusknoir	win	unknown	great	good	good		good prize plan|key tech mattered		yes	2026-03-08
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Dragapult Dusknoir	win	first	good	good	okay		good prize plan|key tech mattered		yes	2026-03-09
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Dragapult Dusknoir	win	second	good	great	good		good prize plan|favorable matchup		yes	2026-03-10
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Charizard ex	win	first	good	good	good		Good Tech|favorable matchup		yes	2026-03-11
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Charizard ex	win	second	great	good	bad		Good Tech|key tech mattered		yes	2026-03-12
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Charizard ex	win	first	good	great	great		Good Tech|key tech mattered		yes	2026-03-13
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Charizard ex	win	second	good	good	great		Good Tech|favorable matchup		yes	2026-03-14
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Charizard ex	win	first	good	good	bad		Good Tech|favorable matchup		yes	2026-03-15
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Charizard ex	win	second	good	good	good		Good Tech|key tech mattered		yes	2026-03-16
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Charizard ex	loss	first	good	okay	good	poor prize trade|tempo loss			yes	2026-03-17
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Charizard ex	loss	second	good	good	okay	poor prize trade			yes	2026-03-18
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Charizard ex	loss	first	okay	great	good	poor prize trade|missed setup			yes	2026-03-19
Playtest 1000 - Raging Bolt Lab	v2 Vessel Package	Charizard ex	tie	second	good	okay	good				yes	2026-03-20
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Gardevoir	win	second	bad	okay	good		good prize plan|strong recovery		yes	2026-03-21
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Gardevoir	win	second	great	good	okay		good prize plan|strong recovery		yes	2026-03-22
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Gardevoir	win	first	great	good	great		good prize plan|key tech mattered		yes	2026-03-23
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Gardevoir	win	second	okay	bad	bad		good prize plan|favorable matchup		yes	2026-03-24
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Gardevoir	win	first	okay	bad	bad		good prize plan|key tech mattered		yes	2026-03-25
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Gardevoir	loss	second	great	okay	great	tempo loss|supporter drought			yes	2026-03-26
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Gardevoir	loss	second	great	okay	great	tempo loss			yes	2026-03-27
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Gardevoir	loss	second	bad	bad	good	tempo loss			yes	2026-03-28
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Gardevoir	loss	first	good	good	bad	tempo loss|poor prize trade			yes	2026-03-29
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Gardevoir	tie	second	bad	great	okay	supporter drought	good prize plan		yes	2026-03-30
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Raging Bolt	win	second	okay	bad	good		clean sequencing|favorable matchup		yes	2026-03-31
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Raging Bolt	win	first	great	good	good		clean sequencing|favorable matchup		yes	2026-04-01
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Raging Bolt	loss	first	bad	okay	good	prize map error|poor prize trade			yes	2026-04-02
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Raging Bolt	tie	second	bad	good	okay				yes	2026-04-03
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Rogue decks	win	unknown	okay	good	bad		favorable matchup|strong recovery		yes	2026-04-04
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Rogue decks	win	unknown	bad	great	great		favorable matchup|strong recovery		yes	2026-04-05
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Rogue decks	loss	unknown	okay	good	great	matchup knowledge|supporter drought			yes	2026-04-06
Playtest 1000 - Raging Bolt Lab	v3 Anti-Bench	Rogue decks	tie	unknown	good	okay	bad				yes	2026-04-07
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	loss	unknown	bad	bad	good	bad sequencing|tempo loss			yes	2026-04-08
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	loss	second	okay	great	good	bad sequencing|tempo loss			yes	2026-04-09
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	loss	first	okay	good	okay	bad sequencing|tempo loss			yes	2026-04-10
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	loss	unknown	good	okay	bad	bad sequencing|tempo loss			yes	2026-04-11
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	loss	first	okay	okay	bad	bad sequencing|tempo loss			yes	2026-04-12
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	loss	second	good	okay	bad	bad sequencing|tempo loss			yes	2026-04-13
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	loss	unknown	okay	okay	bad	bad sequencing|tempo loss			yes	2026-04-14
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	loss	second	good	okay	okay	bad sequencing|tempo loss			yes	2026-04-15
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	loss	first	bad	okay	good	bad sequencing|tempo loss			yes	2026-04-16
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	tie	unknown	good	good	good				yes	2026-04-17
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	win	first	okay	okay	good		Good Tech|favorable matchup		yes	2026-04-18
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	win	second	bad	great	good		Good Tech|strong recovery		yes	2026-04-19
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	win	unknown	great	bad	good		Good Tech|key tech mattered		yes	2026-04-20
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	win	second	good	bad	okay		Good Tech|key tech mattered		yes	2026-04-21
Playtest 1000 - Dragapult Dusknoir	v1 Bare Bones	Raging Bolt	win	first	bad	bad	great		Good Tech|strong recovery		yes	2026-04-22
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Mega Greninja	loss	first	good	great	good	missed setup|bad sequencing			yes	2026-04-23
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Mega Greninja	loss	second	okay	great	bad	missed setup|bad sequencing			yes	2026-04-24
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Mega Greninja	loss	first	bad	great	good	missed setup|bad sequencing			yes	2026-04-25
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Mega Greninja	loss	second	okay	great	okay	missed setup|bad sequencing			yes	2026-04-26
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Mega Greninja	tie	first	good	good	good	supporter drought	strong recovery		yes	2026-04-27
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Mega Greninja	win	second	bad	good	good		Good Tech|clean sequencing		yes	2026-04-28
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Mega Greninja	win	first	good	great	great		Good Tech|clean sequencing		yes	2026-04-29
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Mega Greninja	win	second	okay	good	great		Good Tech|clean sequencing		yes	2026-04-30
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Mega Greninja	loss	first	okay	good	okay	missed setup|bad sequencing			yes	2026-05-01
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Mega Greninja	loss	second	bad	bad	good	missed setup|bad sequencing			yes	2026-05-02
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Charizard ex	win	second	good	good	bad		good prize plan|strong recovery		yes	2026-05-03
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Charizard ex	win	first	okay	bad	okay		good prize plan|strong recovery		yes	2026-05-04
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Charizard ex	win	second	okay	bad	good		good prize plan|strong recovery		yes	2026-05-05
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Charizard ex	win	first	bad	good	good		good prize plan|strong recovery		yes	2026-05-06
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Charizard ex	win	second	good	good	good		good prize plan|strong recovery		yes	2026-05-07
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Charizard ex	loss	first	good	good	okay	poor prize trade|tempo loss			yes	2026-05-08
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Charizard ex	loss	second	okay	bad	great	poor prize trade			yes	2026-05-09
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Charizard ex	loss	first	okay	okay	good	poor prize trade|supporter drought			yes	2026-05-10
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Charizard ex	tie	second	great	good	good	tempo loss	good prize plan		yes	2026-05-11
Playtest 1000 - Dragapult Dusknoir	v2 Consistency	Charizard ex	win	first	okay	good	good		good prize plan|key tech mattered		yes	2026-05-12
Playtest 1000 - Dragapult Dusknoir	v3 Prize Mapping	Gardevoir	win	unknown	good	great	good		Good Tech|key tech mattered		yes	2026-05-13
Playtest 1000 - Dragapult Dusknoir	v3 Prize Mapping	Gardevoir	win	second	good	great	great		Good Tech|strong recovery		yes	2026-05-14
Playtest 1000 - Dragapult Dusknoir	v3 Prize Mapping	Gardevoir	win	first	good	good	bad		Good Tech|key tech mattered		yes	2026-05-15
Playtest 1000 - Dragapult Dusknoir	v3 Prize Mapping	Gardevoir	win	second	good	bad	good		Good Tech|strong recovery		yes	2026-05-16
Playtest 1000 - Dragapult Dusknoir	v3 Prize Mapping	Gardevoir	loss	unknown	good	good	bad	prize map error|tempo loss			yes	2026-05-17
Playtest 1000 - Dragapult Dusknoir	v3 Prize Mapping	Gardevoir	loss	second	okay	okay	okay	prize map error|tempo loss			yes	2026-05-18
Playtest 1000 - Dragapult Dusknoir	v3 Prize Mapping	Gardevoir	loss	first	great	great	good	prize map error|missed setup			yes	2026-05-19
Playtest 1000 - Dragapult Dusknoir	v3 Prize Mapping	Gardevoir	loss	second	great	good	okay	prize map error|missed setup			yes	2026-05-20
Playtest 1000 - Dragapult Dusknoir	v3 Prize Mapping	Gardevoir	tie	unknown	okay	okay	okay				yes	2026-05-21
Playtest 1000 - Dragapult Dusknoir	v3 Prize Mapping	Gardevoir	win	second	great	good	okay		Good Tech|key tech mattered		yes	2026-05-22
Playtest 1000 - Mega Greninja Tempo	v1 Raw Tempo	Raging Bolt	win	unknown	okay	great	good		key tech mattered|strong setup		yes	2026-05-23
Playtest 1000 - Mega Greninja Tempo	v1 Raw Tempo	Raging Bolt	win	second	good	good	great		key tech mattered|strong setup		yes	2026-05-24
Playtest 1000 - Mega Greninja Tempo	v1 Raw Tempo	Raging Bolt	win	first	great	great	bad		key tech mattered|strong setup		yes	2026-05-25
Playtest 1000 - Mega Greninja Tempo	v1 Raw Tempo	Raging Bolt	win	second	okay	great	okay		key tech mattered|strong setup		yes	2026-05-26
Playtest 1000 - Mega Greninja Tempo	v1 Raw Tempo	Raging Bolt	win	first	good	great	bad		key tech mattered|strong setup		yes	2026-05-27
Playtest 1000 - Mega Greninja Tempo	v1 Raw Tempo	Raging Bolt	win	unknown	good	good	okay		key tech mattered|strong setup		yes	2026-05-28
Playtest 1000 - Mega Greninja Tempo	v1 Raw Tempo	Raging Bolt	loss	first	good	bad	okay	supporter drought			yes	2026-05-29
Playtest 1000 - Mega Greninja Tempo	v1 Raw Tempo	Raging Bolt	loss	second	bad	bad	great	supporter drought			yes	2026-05-30
Playtest 1000 - Mega Greninja Tempo	v1 Raw Tempo	Raging Bolt	tie	first	bad	great	good	supporter drought			yes	2026-05-31
Playtest 1000 - Mega Greninja Tempo	v1 Raw Tempo	Raging Bolt	win	second	good	good	good		key tech mattered|strong setup		yes	2026-06-01
Playtest 1000 - Mega Greninja Tempo	v2 Cleaner Counts	Charizard ex	win	unknown	great	good	good		key tech mattered|strong recovery		yes	2026-06-02
Playtest 1000 - Mega Greninja Tempo	v2 Cleaner Counts	Charizard ex	win	second	good	okay	good		key tech mattered|strong recovery		yes	2026-06-03
Playtest 1000 - Mega Greninja Tempo	v2 Cleaner Counts	Charizard ex	win	first	good	good	okay		key tech mattered|strong recovery		yes	2026-06-04
Playtest 1000 - Mega Greninja Tempo	v2 Cleaner Counts	Charizard ex	win	unknown	good	great	good		key tech mattered|strong recovery		yes	2026-06-05
Playtest 1000 - Mega Greninja Tempo	v2 Cleaner Counts	Charizard ex	win	first	great	okay	bad		key tech mattered|strong recovery		yes	2026-06-06
Playtest 1000 - Mega Greninja Tempo	v2 Cleaner Counts	Charizard ex	win	second	good	okay	bad		key tech mattered|strong recovery		yes	2026-01-18
Playtest 1000 - Mega Greninja Tempo	v2 Cleaner Counts	Charizard ex	loss	unknown	great	bad	good	stadium lock|poor prize trade			yes	2026-01-19
Playtest 1000 - Mega Greninja Tempo	v2 Cleaner Counts	Charizard ex	loss	second	good	good	good	stadium lock|poor prize trade			yes	2026-01-20
Playtest 1000 - Mega Greninja Tempo	v2 Cleaner Counts	Charizard ex	tie	first	okay	bad	okay		strong recovery		yes	2026-01-21
Playtest 1000 - Mega Greninja Tempo	v2 Cleaner Counts	Charizard ex	win	unknown	good	good	good		key tech mattered|strong recovery		yes	2026-01-22
Playtest 1000 - Charizard Pressure	v1 Straight	Mega Greninja	win	first	good	great	good		strong setup|strong recovery		yes	2026-01-23
Playtest 1000 - Charizard Pressure	v1 Straight	Mega Greninja	win	first	good	great	great		strong setup|favorable matchup		yes	2026-01-24
Playtest 1000 - Charizard Pressure	v1 Straight	Mega Greninja	win	first	great	great	good		strong setup|strong recovery		yes	2026-01-25
Playtest 1000 - Charizard Pressure	v1 Straight	Mega Greninja	win	first	good	okay	bad		strong setup|key tech mattered		yes	2026-01-26
Playtest 1000 - Charizard Pressure	v1 Straight	Mega Greninja	loss	first	okay	great	good	Item Lock|missed setup			yes	2026-01-27
Playtest 1000 - Charizard Pressure	v1 Straight	Mega Greninja	loss	first	great	bad	good	Item Lock|missed setup			yes	2026-01-28
Playtest 1000 - Charizard Pressure	v1 Straight	Mega Greninja	loss	first	bad	good	good	Item Lock|missed setup			yes	2026-01-29
Playtest 1000 - Charizard Pressure	v1 Straight	Mega Greninja	loss	unknown	okay	bad	bad	Item Lock|missed setup			yes	2026-01-30
Playtest 1000 - Charizard Pressure	v1 Straight	Mega Greninja	loss	second	okay	bad	good	Item Lock|missed setup			yes	2026-01-31
Playtest 1000 - Charizard Pressure	v1 Straight	Mega Greninja	tie	second	bad	good	okay	tempo loss			yes	2026-02-01
Playtest 1000 - Charizard Pressure	v1 Straight	Mega Greninja	win	second	great	okay	great		strong setup|strong recovery		yes	2026-02-02
Playtest 1000 - Charizard Pressure	v1 Straight	Mega Greninja	win	second	okay	good	great		strong setup|favorable matchup		yes	2026-02-03
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Dragapult Dusknoir	win	first	okay	great	bad		Good Tech|strong recovery		yes	2026-02-04
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Dragapult Dusknoir	win	first	okay	good	good		Good Tech|key tech mattered		yes	2026-02-05
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Dragapult Dusknoir	win	first	okay	good	good		Good Tech|key tech mattered		yes	2026-02-06
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Dragapult Dusknoir	win	first	okay	good	good		Good Tech|strong recovery		yes	2026-02-07
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Dragapult Dusknoir	win	first	great	good	great		Good Tech|favorable matchup		yes	2026-02-08
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Dragapult Dusknoir	win	first	great	good	good		Good Tech|key tech mattered		yes	2026-02-09
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Dragapult Dusknoir	win	first	good	good	great		Good Tech|strong recovery		yes	2026-02-10
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Dragapult Dusknoir	loss	unknown	okay	bad	great	Item Lock|missed setup			yes	2026-02-11
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Dragapult Dusknoir	loss	second	bad	good	good	Item Lock|missed setup			yes	2026-02-12
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Dragapult Dusknoir	loss	second	good	okay	good	Item Lock|poor prize trade			yes	2026-02-13
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Dragapult Dusknoir	tie	second	great	okay	okay	tempo loss			yes	2026-02-14
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Dragapult Dusknoir	win	second	great	okay	good		Good Tech|key tech mattered		yes	2026-02-15
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Control / Item Lock	win	first	great	good	okay		good prize plan|favorable matchup		yes	2026-02-16
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Control / Item Lock	win	first	good	great	okay		good prize plan|strong recovery		yes	2026-02-17
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Control / Item Lock	win	first	good	good	okay		good prize plan|favorable matchup		yes	2026-02-18
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Control / Item Lock	win	first	okay	bad	great		good prize plan|key tech mattered		yes	2026-02-19
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Control / Item Lock	loss	first	great	bad	good	Item Lock|supporter drought			yes	2026-02-20
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Control / Item Lock	loss	first	okay	okay	okay	Item Lock|supporter drought			yes	2026-02-21
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Control / Item Lock	loss	unknown	good	bad	good	Item Lock|supporter drought			yes	2026-02-22
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Control / Item Lock	loss	second	okay	okay	okay	Item Lock|supporter drought			yes	2026-02-23
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Control / Item Lock	loss	second	good	bad	great	Item Lock|supporter drought			yes	2026-02-24
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Control / Item Lock	tie	unknown	okay	good	good	supporter drought			yes	2026-02-25
Playtest 1000 - Charizard Pressure	v2 Item Lock Prep	Control / Item Lock	win	second	okay	good	good		good prize plan|favorable matchup		yes	2026-02-26
Playtest 1000 - Rogue Box	v1 Meta Soup	Charizard ex	win	unknown	okay	great	great		key tech mattered|strong recovery		yes	2026-02-27
Playtest 1000 - Rogue Box	v1 Meta Soup	Charizard ex	loss	second	okay	great	okay	matchup knowledge|tempo loss			yes	2026-02-28
Playtest 1000 - Rogue Box	v1 Meta Soup	Charizard ex	tie	unknown	great	bad	bad	supporter drought			yes	2026-03-01
Playtest 1000 - Rogue Box	v1 Meta Soup	Charizard ex	loss	first	okay	great	bad	matchup knowledge|poor prize trade			yes	2026-03-02
Playtest 1000 - Rogue Box	v1 Meta Soup	Charizard ex	win	unknown	good	okay	okay		key tech mattered|favorable matchup		yes	2026-03-03
Playtest 1000 - Rogue Box	v2 Trimmed Soup	Mega Greninja	loss	second	bad	good	okay	prize map error|tempo loss			yes	2026-03-04
Playtest 1000 - Rogue Box	v2 Trimmed Soup	Mega Greninja	tie	unknown	bad	okay	good		strong recovery		yes	2026-03-05
Playtest 1000 - Rogue Box	v2 Trimmed Soup	Mega Greninja	win	unknown	good	bad	okay		strong recovery|key tech mattered		yes	2026-03-06
Playtest 1000 - Rogue Box	v2 Trimmed Soup	Mega Greninja	loss	second	good	okay	okay	prize map error|missed setup			yes	2026-03-07
Playtest 1000 - Rogue Box	v2 Trimmed Soup	Mega Greninja	tie	unknown	good	good	good	supporter drought			yes	2026-03-08
Playtest 1000 - Control Counterlab	v1 Counter Package	Charizard ex	win	second	good	bad	good		good prize plan|key tech mattered		yes	2026-03-09
Playtest 1000 - Control Counterlab	v1 Counter Package	Charizard ex	loss	first	good	good	okay	Item Lock|supporter drought			yes	2026-03-10
Playtest 1000 - Control Counterlab	v1 Counter Package	Charizard ex	loss	second	great	good	good	Item Lock|supporter drought			yes	2026-03-11
